"","X","SNo","Date","StartupName","IndustryVertical","SubVertical","CityLocation","InvestorsName","InvestmentType","AmountInUSD","Remarks","New_Date","dd","mm","yyyy","mmyyyy","New_Date","dd","mm","yyyy","mmyyyy"
"102",159,4878,"18/05/2017","Paytm","ECommerce","Mobile Wallet & ECommerce platform","Bangalore","SoftBank Group","Private Equity",1400000000,"","18/05/2017",18,5,2017,"05-2017","18/05/2017","18","05","2017","05-2017"
"103",160,4879,"19/05/2017","EzCred","Consumer Internet","Consumer Lending Platform","Bangalore","Dheeraj Pandey, Rajesh Yohannan, Akash Garg","Seed Funding",1000000,"","19/05/2017",19,5,2017,"05-2017","19/05/2017","19","05","2017","05-2017"
"104",163,4880,"22/05/2017","Delhivery","Logistics","ECommerce Logistics provider","New Delhi","Fosun International","Private Equity",30000000,"","22/05/2017",22,5,2017,"05-2017","22/05/2017","22","05","2017","05-2017"
"105",164,4881,"22/05/2017","ZipGrid","Consumer Internet","Cashless, paperless solutions for Housing societies","Mumbai","JLL, 1Crowd","Seed Funding",500000,"","22/05/2017",22,5,2017,"05-2017","22/05/2017","22","05","2017","05-2017"
"106",166,4882,"23/05/2017","Magicpin","Consumer Internet","Hyperlocal discovery platform","Gurgaon","Lightspeed Venture Partners, Vy Capital,","Private Equity",6600000,"","23/05/2017",23,5,2017,"05-2017","23/05/2017","23","05","2017","05-2017"
"107",168,4883,"23/05/2017","Box8","Consumer Internet","Food Delivery Platform","Mumbai","Trifecta Capital","Private Equity",1000000,"","23/05/2017",23,5,2017,"05-2017","23/05/2017","23","05","2017","05-2017"
"108",169,4884,"24/05/2017","GenNext Students","Consumer Internet","Online Tutoring Services","Mumbai","Undisclosed Investors","Seed Funding",580000,"","24/05/2017",24,5,2017,"05-2017","24/05/2017","24","05","2017","05-2017"
"109",170,4885,"25/05/2017","Aye Finance","Finance","Non-Banking Financial Company","Gurgaon","Blue Orchard","Private Equity",8000000,"","25/05/2017",25,5,2017,"05-2017","25/05/2017","25","05","2017","05-2017"
"110",175,4886,"29/05/2017","Collateral Medical","eCommerce","Online Medical equipment supplier","Mumbai","Carpediem Capital","Private Equity",3500000,"","29/05/2017",29,5,2017,"05-2017","29/05/2017","29","05","2017","05-2017"
"111",178,4887,"30/05/2017","Supr Daily","Consumer Internet","Subscription based delivery platform","Mumbai","Soma Capital, Great Oaks Ventures, 122 West Ventures","Private Equity",1500000,"","30/05/2017",30,5,2017,"05-2017","30/05/2017","30","05","2017","05-2017"
"112",179,4888,"30/05/2017","Swiggy","Consumer Internet","Online food delivery platform","Bangalore","Nasper, Accel India, SAIF Partners, Bessemer Venture Partners, Harmony Partners, Norwest Venture Partners","Private Equity",80000000,"","30/05/2017",30,5,2017,"05-2017","30/05/2017","30","05","2017","05-2017"
"113",180,4889,"31/05/2017","SastaSundar","eCommerce","Online Pharmacy","Kolkata","Rohto Pharmaceutical","Private Equity",5000000,"","31/05/2017",31,5,2017,"05-2017","31/05/2017","31","05","2017","05-2017"
"114",181,4890,"31/05/2017","Magicpin","Consumer Internet","Hyperlocal Discovery  & Rewards platform","Gurgaon","Lightspeed India Partners, Waterbridge Ventures","Private Equity",7000000,"","31/05/2017",31,5,2017,"05-2017","31/05/2017","31","05","2017","05-2017"
